model,board,final_group_id,candidate_nets,spearman,top5_cost_capture,top5_overlap,ndcg5
MST-only,ADC-PCM4202-SE_ADC-PCM4202-SE,FG0018,85,0.9898128197353685,1.0,1.0,1.0
MST-only,ADC-PCM4202_ADC-PCM4202,FG0018,87,0.9891409849315954,1.0,1.0,0.9997060801465477
MST-only,AnalogThermometer_AnalogThermometer,FG0031,12,0.9790209790209792,0.991494631362876,0.8,0.9949398632213111
MST-only,CubeSAT-Reaction-Wheel_Edison_Motor_Servo,FG0072,5,0.9999999999999999,1.0,1.0,1.0
MST-only,CubeSAT-Reaction-Wheel__autosave-GPIO to motor,FG0072,20,0.856497721917709,0.8417830445345192,0.8,0.8011614818326906
MST-only,E202VAR-Natural-Radio-Receiver_e202var-vlf-radio-receiver,FG0089,30,0.9959955506117909,1.0,1.0,0.9999948768389761
MST-only,ESP8266-MQTT-battery-monitor-hw_battery-monitor,FG0096,32,0.9886363636363635,0.9975537633116274,0.8,0.997472054195083
MST-only,ESP_nRF_Relay_Relay_WiFi_nRF24,FG0100,18,0.981424148606811,0.9690371218665976,0.8,0.9794230472458272
MST-only,Fox-1-MPPT_TL1451_MPPT_Flight_Rev1,FG0116,284,0.8945961634840811,0.9919358296470503,0.8,0.9945012201592801
MST-only,Inkjet_InkjetBreakout,FG0143,13,0.34065934065934067,0.7728509741467758,0.4,0.7571458917859916
MST-only,Inkjet_InkjetDriver,FG0143,27,0.9713064713064712,1.0,1.0,0.9999999999999999
MST-only,Inkjet_PiezoDriver,FG0143,11,0.8545454545454546,1.0,1.0,1.0
MST-only,Inkjet__autosave-InkjetDriver,FG0143,27,0.9713064713064712,1.0,1.0,1.0
MST-only,JLink-SWD_JLink-SWD,FG0144,17,0.9895191122071519,0.9903972168047542,0.8,0.9945693208402004
MST-only,KiCad-Library_Teensy_test_layout,FG0150,408,0.9943440228566783,0.9905752353336513,0.8,0.9935448682632158
MST-only,MAVRIC_Hardware_ArduinoPracticeBoard,FG0187,29,0.9847290640394086,0.9953500683104013,0.8,0.9975535431151664
MST-only,MAVRIC_Hardware_Motherboard,FG0187,42,0.9899521918807228,1.0,1.0,0.9985964311058999
MST-only,MAVRIC_Hardware_SoilBoard,FG0187,14,0.8901098901098902,1.0,1.0,1.0
MST-only,MAVRIC_Hardware__autosave-Motherboard,FG0187,42,0.9899521918807228,1.0,1.0,0.9985964311058999
MST-only,MAVRIC_Hardware_pcieduino,FG0187,41,0.9735191637630665,0.9899103222791205,0.8,0.9947369102479934
MST-only,Minitel_bbb-adapter,FG0197,33,0.9876295691324163,0.9611306516085779,0.6,0.9755657297312462
MST-only,Minitel_driver_board,FG0197,32,0.9925763033163891,0.992713293218334,0.8,0.9725988735902144
MST-only,Minitel_video_output_stage,FG0197,18,1.0,1.0,1.0,1.0000000000000002
MST-only,MonApollo_analog-board,FG0199,353,0.992235501007622,1.0,1.0,1.0
MST-only,MySRaspiGW_MySRaspiGW,FG0201,7,0.6666937223947137,0.9774030792930776,0.8,0.9393835394774602
MST-only,MySRaspiGW_MySRaspiGW_PA_LNA,FG0201,7,0.991031208965115,1.0,0.8,0.9999999999999997
MST-only,MySRaspiGW_MySRaspiGW_PA_LNA_Pimoroni,FG0201,7,0.9642857142857145,0.9930615517633928,0.8,0.9960071562560054
MST-only,MySRaspiGW_MySRaspiGW_Pimoroni,FG0201,7,0.8468812149338255,0.9999999999999999,1.0,0.9842437396053221
MST-only,NRC2016_banked_ram,FG0205,55,0.9745810107844154,0.9836574891983528,0.8,0.9893068550733506
MST-only,NRC2016_usb_sio,FG0205,51,0.9856660720995751,1.0,1.0,1.0
MST-only,NRC2016_z80,FG0205,57,0.9803880939972688,1.0,1.0,0.9999999999999999
MST-only,OpenHardwareExG_ActiveElectrode_OpenHardwareExG_ActiveElectrode,FG0219,10,0.9636363636363635,0.9765162180335044,0.8,0.9864636870225112
