board,board_sha256,policy,repeat,requested_order,realized_order,order_exact,net_count,closed_nets_count,drc_count,routing_geometry_count,reward_total,elapsed_seconds,api_error
generated2pin__board_00000.kicad_pcb,b425539eadc34a427700d74d4f0159a59ab02549a4ceea9e89811420eb45eabf,natural,0,"[1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]",True,5,5,3,5,10.361976743566562,0.07271183899956668,
generated2pin__board_00000.kicad_pcb,b425539eadc34a427700d74d4f0159a59ab02549a4ceea9e89811420eb45eabf,natural,1,"[1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]",True,5,5,3,5,10.361976743566562,0.06667980800011719,
generated2pin__board_00000.kicad_pcb,b425539eadc34a427700d74d4f0159a59ab02549a4ceea9e89811420eb45eabf,mst_hard_first,0,"[1, 3, 4, 5, 2]","[1, 3, 4, 5, 2]",True,5,5,3,5,10.361976743566562,0.07382169799984695,
generated2pin__board_00000.kicad_pcb,b425539eadc34a427700d74d4f0159a59ab02549a4ceea9e89811420eb45eabf,mst_hard_first,1,"[1, 3, 4, 5, 2]","[1, 3, 4, 5, 2]",True,5,5,3,5,10.361976743566562,0.0714179590004278,
generated2pin__board_00000.kicad_pcb,b425539eadc34a427700d74d4f0159a59ab02549a4ceea9e89811420eb45eabf,mst_easy_first,0,"[2, 5, 4, 3, 1]","[2, 5, 4, 3, 1]",True,5,5,3,5,10.33549211116843,0.07522541799971805,
generated2pin__board_00000.kicad_pcb,b425539eadc34a427700d74d4f0159a59ab02549a4ceea9e89811420eb45eabf,mst_easy_first,1,"[2, 5, 4, 3, 1]","[2, 5, 4, 3, 1]",True,5,5,3,5,10.33549211116843,0.07213274799960345,
generated2pin__board_00001.kicad_pcb,4249bfe8853d730d2db8b95cd21888f7dfd88afb34fc809bd64f44cede0c13b0,natural,0,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]",True,6,6,4,6,6.870996232194304,0.0735396669997499,
generated2pin__board_00001.kicad_pcb,4249bfe8853d730d2db8b95cd21888f7dfd88afb34fc809bd64f44cede0c13b0,natural,1,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]",True,6,6,4,6,6.870996232194304,0.07312706900029298,
generated2pin__board_00001.kicad_pcb,4249bfe8853d730d2db8b95cd21888f7dfd88afb34fc809bd64f44cede0c13b0,mst_hard_first,0,"[3, 1, 4, 5, 2, 6]","[3, 1, 4, 5, 2, 6]",True,6,6,4,6,6.8709962321943046,0.08237039799951162,
generated2pin__board_00001.kicad_pcb,4249bfe8853d730d2db8b95cd21888f7dfd88afb34fc809bd64f44cede0c13b0,mst_hard_first,1,"[3, 1, 4, 5, 2, 6]","[3, 1, 4, 5, 2, 6]",True,6,6,4,6,6.8709962321943046,0.06765537799947197,
generated2pin__board_00001.kicad_pcb,4249bfe8853d730d2db8b95cd21888f7dfd88afb34fc809bd64f44cede0c13b0,mst_easy_first,0,"[6, 2, 5, 4, 1, 3]","[6, 2, 5, 4, 1, 3]",True,6,6,4,6,6.8709962321943046,0.07480404799935059,
generated2pin__board_00001.kicad_pcb,4249bfe8853d730d2db8b95cd21888f7dfd88afb34fc809bd64f44cede0c13b0,mst_easy_first,1,"[6, 2, 5, 4, 1, 3]","[6, 2, 5, 4, 1, 3]",True,6,6,4,6,6.8709962321943046,0.07854914800009283,
generated2pin__board_00002.kicad_pcb,827e62b62a49e0882bb0901b43bb26449e93a0eda7d25a975c2ab42f21555307,natural,0,"[1, 2, 3, 4]","[1, 2, 3, 4]",True,4,4,3,4,6.898713966243278,0.06486557799962611,
generated2pin__board_00002.kicad_pcb,827e62b62a49e0882bb0901b43bb26449e93a0eda7d25a975c2ab42f21555307,natural,1,"[1, 2, 3, 4]","[1, 2, 3, 4]",True,4,4,3,4,6.898713966243278,0.07005042800028605,
generated2pin__board_00002.kicad_pcb,827e62b62a49e0882bb0901b43bb26449e93a0eda7d25a975c2ab42f21555307,mst_hard_first,0,"[3, 2, 1, 4]","[3, 2, 1, 4]",True,4,4,3,4,6.73500261276326,0.060669898000014655,
generated2pin__board_00002.kicad_pcb,827e62b62a49e0882bb0901b43bb26449e93a0eda7d25a975c2ab42f21555307,mst_hard_first,1,"[3, 2, 1, 4]","[3, 2, 1, 4]",True,4,4,3,4,6.73500261276326,0.0563408089992663,
generated2pin__board_00002.kicad_pcb,827e62b62a49e0882bb0901b43bb26449e93a0eda7d25a975c2ab42f21555307,mst_easy_first,0,"[4, 1, 2, 3]","[4, 1, 2, 3]",True,4,4,3,4,6.898713966243278,0.055134459000328206,
generated2pin__board_00002.kicad_pcb,827e62b62a49e0882bb0901b43bb26449e93a0eda7d25a975c2ab42f21555307,mst_easy_first,1,"[4, 1, 2, 3]","[4, 1, 2, 3]",True,4,4,3,4,6.898713966243278,0.05782191900016187,
